Method,Training_Size,Training_Config,Attack_Traces,Key_Rank,Run,Seed
Standard CNN,1280,5-shot equivalent,100,100,10,51
Standard CNN,1280,5-shot equivalent,500,77,10,51
Standard CNN,1280,5-shot equivalent,1000,161,10,51
Standard CNN,1280,5-shot equivalent,2000,96,10,51
Standard CNN,1280,5-shot equivalent,5000,142,10,51
Standard CNN,1280,5-shot equivalent,10000,106,10,51
Standard CNN,2560,10-shot equivalent,100,243,10,51
Standard CNN,2560,10-shot equivalent,500,227,10,51
Standard CNN,2560,10-shot equivalent,1000,232,10,51
Standard CNN,2560,10-shot equivalent,2000,231,10,51
Standard CNN,2560,10-shot equivalent,5000,241,10,51
Standard CNN,2560,10-shot equivalent,10000,223,10,51
Standard CNN,3840,15-shot equivalent,100,223,10,51
Standard CNN,3840,15-shot equivalent,500,196,10,51
Standard CNN,3840,15-shot equivalent,1000,179,10,51
Standard CNN,3840,15-shot equivalent,2000,13,10,51
Standard CNN,3840,15-shot equivalent,5000,10,10,51
Standard CNN,3840,15-shot equivalent,10000,10,10,51
Standard CNN,5120,20-shot equivalent,100,26,10,51
Standard CNN,5120,20-shot equivalent,500,155,10,51
Standard CNN,5120,20-shot equivalent,1000,117,10,51
Standard CNN,5120,20-shot equivalent,2000,99,10,51
Standard CNN,5120,20-shot equivalent,5000,132,10,51
Standard CNN,5120,20-shot equivalent,10000,125,10,51
Standard CNN,50000,Full training set,100,236,10,51
Standard CNN,50000,Full training set,500,108,10,51
Standard CNN,50000,Full training set,1000,116,10,51
Standard CNN,50000,Full training set,2000,112,10,51
Standard CNN,50000,Full training set,5000,57,10,51
Standard CNN,50000,Full training set,10000,86,10,51
