Method,Training_Size,Training_Config,Attack_Traces,Key_Rank,Run,Seed
Standard CNN,50000,Full training set,2000,158,4,45
Standard CNN,50000,Full training set,5000,152,4,45
Standard CNN,50000,Full training set,10000,73,4,45
Standard CNN,1280,5-shot equivalent,100,89,5,46
Standard CNN,1280,5-shot equivalent,500,180,5,46
Standard CNN,1280,5-shot equivalent,1000,234,5,46
Standard CNN,1280,5-shot equivalent,2000,187,5,46
Standard CNN,1280,5-shot equivalent,5000,167,5,46
Standard CNN,1280,5-shot equivalent,10000,225,5,46
Standard CNN,2560,10-shot equivalent,100,145,5,46
Standard CNN,2560,10-shot equivalent,500,237,5,46
Standard CNN,2560,10-shot equivalent,1000,184,5,46
Standard CNN,2560,10-shot equivalent,2000,200,5,46
Standard CNN,2560,10-shot equivalent,5000,12,5,46
Standard CNN,2560,10-shot equivalent,10000,39,5,46
Standard CNN,3840,15-shot equivalent,100,241,5,46
Standard CNN,3840,15-shot equivalent,500,251,5,46
Standard CNN,3840,15-shot equivalent,1000,241,5,46
Standard CNN,3840,15-shot equivalent,2000,241,5,46
Standard CNN,3840,15-shot equivalent,5000,216,5,46
Standard CNN,3840,15-shot equivalent,10000,122,5,46
Standard CNN,5120,20-shot equivalent,100,150,5,46
Standard CNN,5120,20-shot equivalent,500,188,5,46
Standard CNN,5120,20-shot equivalent,1000,250,5,46
Standard CNN,5120,20-shot equivalent,2000,248,5,46
Standard CNN,5120,20-shot equivalent,5000,149,5,46
Standard CNN,5120,20-shot equivalent,10000,89,5,46
Standard CNN,50000,Full training set,100,176,5,46
Standard CNN,50000,Full training set,500,171,5,46
Standard CNN,50000,Full training set,1000,146,5,46
Standard CNN,50000,Full training set,2000,190,5,46
Standard CNN,50000,Full training set,5000,152,5,46
Standard CNN,50000,Full training set,10000,79,5,46
Standard CNN,1280,5-shot equivalent,100,118,6,47
Standard CNN,1280,5-shot equivalent,500,102,6,47
Standard CNN,1280,5-shot equivalent,1000,140,6,47
Standard CNN,1280,5-shot equivalent,2000,214,6,47
Standard CNN,1280,5-shot equivalent,5000,210,6,47
Standard CNN,1280,5-shot equivalent,10000,185,6,47
Standard CNN,2560,10-shot equivalent,100,21,6,47
Standard CNN,2560,10-shot equivalent,500,14,6,47
Standard CNN,2560,10-shot equivalent,1000,6,6,47
Standard CNN,2560,10-shot equivalent,2000,5,6,47
Standard CNN,2560,10-shot equivalent,5000,54,6,47
Standard CNN,2560,10-shot equivalent,10000,87,6,47
Standard CNN,3840,15-shot equivalent,100,126,6,47
Standard CNN,3840,15-shot equivalent,500,113,6,47
Standard CNN,3840,15-shot equivalent,1000,188,6,47
Standard CNN,3840,15-shot equivalent,2000,220,6,47
Standard CNN,3840,15-shot equivalent,5000,156,6,47
Standard CNN,3840,15-shot equivalent,10000,141,6,47
Standard CNN,5120,20-shot equivalent,100,98,6,47
Standard CNN,5120,20-shot equivalent,500,17,6,47
Standard CNN,5120,20-shot equivalent,1000,111,6,47
Standard CNN,5120,20-shot equivalent,2000,188,6,47
Standard CNN,5120,20-shot equivalent,5000,83,6,47
Standard CNN,5120,20-shot equivalent,10000,161,6,47
Standard CNN,50000,Full training set,100,183,6,47
Standard CNN,50000,Full training set,500,178,6,47
Standard CNN,50000,Full training set,1000,240,6,47
Standard CNN,50000,Full training set,2000,195,6,47
Standard CNN,50000,Full training set,5000,125,6,47
Standard CNN,50000,Full training set,10000,120,6,47
Standard CNN,1280,5-shot equivalent,100,148,7,48
Standard CNN,1280,5-shot equivalent,500,193,7,48
Standard CNN,1280,5-shot equivalent,1000,224,7,48
Standard CNN,1280,5-shot equivalent,2000,229,7,48
Standard CNN,1280,5-shot equivalent,5000,110,7,48
Standard CNN,1280,5-shot equivalent,10000,77,7,48
Standard CNN,2560,10-shot equivalent,100,252,7,48
Standard CNN,2560,10-shot equivalent,500,207,7,48
Standard CNN,2560,10-shot equivalent,1000,162,7,48
Standard CNN,2560,10-shot equivalent,2000,115,7,48
Standard CNN,2560,10-shot equivalent,5000,175,7,48
Standard CNN,2560,10-shot equivalent,10000,68,7,48
