Method,K-Shot,Attack Traces,Key Rank,Run
ProtoNet,5,5000,216,4
ProtoNet,5,10000,98,4
Siamese,5,100,242,4
Siamese,5,500,27,4
Siamese,5,1000,99,4
Siamese,5,2000,52,4
Siamese,5,5000,154,4
Siamese,5,10000,47,4
MAML,10,100,62,4
MAML,10,500,75,4
MAML,10,1000,84,4
MAML,10,2000,22,4
MAML,10,5000,68,4
MAML,10,10000,128,4
ProtoNet,10,100,194,4
ProtoNet,10,500,87,4
ProtoNet,10,1000,114,4
ProtoNet,10,2000,56,4
ProtoNet,10,5000,166,4
ProtoNet,10,10000,91,4
Siamese,10,100,224,4
Siamese,10,500,79,4
Siamese,10,1000,44,4
Siamese,10,2000,13,4
Siamese,10,5000,133,4
Siamese,10,10000,43,4
MAML,15,100,224,4
MAML,15,500,111,4
MAML,15,1000,123,4
MAML,15,2000,113,4
MAML,15,5000,33,4
MAML,15,10000,21,4
ProtoNet,15,100,215,4
ProtoNet,15,500,163,4
ProtoNet,15,1000,194,4
ProtoNet,15,2000,188,4
ProtoNet,15,5000,179,4
ProtoNet,15,10000,217,4
Siamese,15,100,210,4
Siamese,15,500,182,4
Siamese,15,1000,207,4
Siamese,15,2000,226,4
Siamese,15,5000,210,4
Siamese,15,10000,205,4
MAML,20,100,65,4
MAML,20,500,30,4
MAML,20,1000,31,4
MAML,20,2000,38,4
MAML,20,5000,32,4
MAML,20,10000,24,4
ProtoNet,20,100,176,4
ProtoNet,20,500,109,4
ProtoNet,20,1000,135,4
ProtoNet,20,2000,134,4
ProtoNet,20,5000,79,4
ProtoNet,20,10000,27,4
Siamese,20,100,175,4
Siamese,20,500,151,4
Siamese,20,1000,158,4
Siamese,20,2000,172,4
Siamese,20,5000,164,4
Siamese,20,10000,91,4
MAML,5,100,197,5
MAML,5,500,167,5
MAML,5,1000,163,5
MAML,5,2000,192,5
MAML,5,5000,88,5
MAML,5,10000,214,5
ProtoNet,5,100,125,5
ProtoNet,5,500,57,5
ProtoNet,5,1000,63,5
ProtoNet,5,2000,70,5
ProtoNet,5,5000,102,5
ProtoNet,5,10000,9,5
Siamese,5,100,148,5
Siamese,5,500,129,5
Siamese,5,1000,83,5
Siamese,5,2000,95,5
Siamese,5,5000,91,5
Siamese,5,10000,54,5
MAML,10,100,192,5
MAML,10,500,100,5
MAML,10,1000,136,5
MAML,10,2000,91,5
MAML,10,5000,211,5
MAML,10,10000,196,5
ProtoNet,10,100,171,5
ProtoNet,10,500,38,5
ProtoNet,10,1000,71,5
ProtoNet,10,2000,125,5
ProtoNet,10,5000,97,5
ProtoNet,10,10000,15,5
Siamese,10,100,202,5
Siamese,10,500,47,5
Siamese,10,1000,40,5
Siamese,10,2000,53,5
Siamese,10,5000,61,5
Siamese,10,10000,10,5
MAML,15,100,99,5
MAML,15,500,77,5
MAML,15,1000,62,5
MAML,15,2000,181,5
MAML,15,5000,183,5
MAML,15,10000,78,5
ProtoNet,15,100,227,5
ProtoNet,15,500,204,5
ProtoNet,15,1000,179,5
ProtoNet,15,2000,178,5
ProtoNet,15,5000,169,5
ProtoNet,15,10000,121,5
Siamese,15,100,217,5
Siamese,15,500,172,5
Siamese,15,1000,205,5
Siamese,15,2000,227,5
Siamese,15,5000,91,5
Siamese,15,10000,19,5
MAML,20,100,99,5
MAML,20,500,88,5
MAML,20,1000,204,5
MAML,20,2000,153,5
MAML,20,5000,97,5
MAML,20,10000,34,5
ProtoNet,20,100,231,5
ProtoNet,20,500,223,5
ProtoNet,20,1000,231,5
ProtoNet,20,2000,235,5
ProtoNet,20,5000,251,5
ProtoNet,20,10000,209,5
Siamese,20,100,245,5
Siamese,20,500,238,5
Siamese,20,1000,196,5
Siamese,20,2000,244,5
Siamese,20,5000,249,5
Siamese,20,10000,154,5
MAML,5,100,193,6
MAML,5,500,120,6
MAML,5,1000,103,6
MAML,5,2000,181,6
MAML,5,5000,145,6
MAML,5,10000,117,6
ProtoNet,5,100,224,6
ProtoNet,5,500,73,6
ProtoNet,5,1000,120,6
ProtoNet,5,2000,164,6
ProtoNet,5,5000,153,6
ProtoNet,5,10000,83,6
Siamese,5,100,220,6
Siamese,5,500,133,6
Siamese,5,1000,89,6
Siamese,5,2000,136,6
Siamese,5,5000,137,6
Siamese,5,10000,108,6
MAML,10,100,143,6
MAML,10,500,124,6
MAML,10,1000,225,6
MAML,10,2000,211,6
MAML,10,5000,189,6
MAML,10,10000,86,6
ProtoNet,10,100,246,6
ProtoNet,10,500,233,6
ProtoNet,10,1000,249,6
ProtoNet,10,2000,249,6
ProtoNet,10,5000,115,6
ProtoNet,10,10000,107,6
Siamese,10,100,223,6
Siamese,10,500,178,6
Siamese,10,1000,241,6
Siamese,10,2000,245,6
Siamese,10,5000,105,6
Siamese,10,10000,44,6
MAML,15,100,51,6
MAML,15,500,14,6
MAML,15,1000,8,6
MAML,15,2000,47,6
MAML,15,5000,130,6
MAML,15,10000,82,6
ProtoNet,15,100,243,6
ProtoNet,15,500,198,6
ProtoNet,15,1000,149,6
ProtoNet,15,2000,212,6
ProtoNet,15,5000,221,6
ProtoNet,15,10000,185,6
Siamese,15,100,234,6
Siamese,15,500,132,6
Siamese,15,1000,88,6
Siamese,15,2000,181,6
Siamese,15,5000,128,6
Siamese,15,10000,15,6
MAML,20,100,254,6
MAML,20,500,215,6
MAML,20,1000,126,6
MAML,20,2000,13,6
MAML,20,5000,65,6
MAML,20,10000,42,6
ProtoNet,20,100,244,6
ProtoNet,20,500,228,6
ProtoNet,20,1000,250,6
ProtoNet,20,2000,229,6
ProtoNet,20,5000,225,6
ProtoNet,20,10000,171,6
Siamese,20,100,233,6
Siamese,20,500,171,6
Siamese,20,1000,202,6
Siamese,20,2000,196,6
Siamese,20,5000,210,6
Siamese,20,10000,168,6
MAML,5,100,253,7
MAML,5,500,181,7
MAML,5,1000,219,7
MAML,5,2000,151,7
MAML,5,5000,62,7
MAML,5,10000,27,7
ProtoNet,5,100,224,7
ProtoNet,5,500,245,7
ProtoNet,5,1000,233,7
ProtoNet,5,2000,248,7
ProtoNet,5,5000,241,7
ProtoNet,5,10000,231,7
Siamese,5,100,206,7
Siamese,5,500,252,7
Siamese,5,1000,220,7
Siamese,5,2000,244,7
Siamese,5,5000,242,7
Siamese,5,10000,225,7
MAML,10,100,175,7
MAML,10,500,105,7
MAML,10,1000,154,7
MAML,10,2000,140,7
MAML,10,5000,212,7
MAML,10,10000,70,7
ProtoNet,10,100,251,7
ProtoNet,10,500,255,7
ProtoNet,10,1000,251,7
ProtoNet,10,2000,228,7
ProtoNet,10,5000,88,7
ProtoNet,10,10000,60,7
Siamese,10,100,242,7
Siamese,10,500,254,7
Siamese,10,1000,254,7
Siamese,10,2000,248,7
Siamese,10,5000,151,7
Siamese,10,10000,74,7
MAML,15,100,92,7
MAML,15,500,159,7
MAML,15,1000,162,7
MAML,15,2000,67,7
MAML,15,5000,208,7
MAML,15,10000,106,7
ProtoNet,15,100,252,7
ProtoNet,15,500,253,7
ProtoNet,15,1000,235,7
ProtoNet,15,2000,233,7
ProtoNet,15,5000,252,7
ProtoNet,15,10000,224,7
Siamese,15,100,235,7
Siamese,15,500,247,7
Siamese,15,1000,236,7
Siamese,15,2000,219,7
Siamese,15,5000,238,7
Siamese,15,10000,120,7
MAML,20,100,40,7
MAML,20,500,232,7
MAML,20,1000,221,7
MAML,20,2000,75,7
MAML,20,5000,67,7
MAML,20,10000,31,7
ProtoNet,20,100,249,7
ProtoNet,20,500,179,7
ProtoNet,20,1000,138,7
ProtoNet,20,2000,110,7
ProtoNet,20,5000,188,7
ProtoNet,20,10000,137,7
Siamese,20,100,211,7
Siamese,20,500,161,7
Siamese,20,1000,156,7
Siamese,20,2000,158,7
Siamese,20,5000,151,7
Siamese,20,10000,37,7
MAML,5,100,193,8
MAML,5,500,156,8
MAML,5,1000,145,8
MAML,5,2000,212,8
MAML,5,5000,183,8
MAML,5,10000,187,8
ProtoNet,5,100,109,8
ProtoNet,5,500,76,8
ProtoNet,5,1000,147,8
ProtoNet,5,2000,36,8
ProtoNet,5,5000,101,8
ProtoNet,5,10000,97,8
Siamese,5,100,64,8
Siamese,5,500,118,8
Siamese,5,1000,145,8
Siamese,5,2000,27,8
Siamese,5,5000,43,8
Siamese,5,10000,10,8
MAML,10,100,35,8
MAML,10,500,149,8
