Method,K-Shot,Attack_Traces,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Count,CI95_Lower,CI95_Upper,CI95_Width
ProtoNet,15,10000,151.7,83.5344905479833,8.0,224.0,10.0,91.94302529828244,211.45697470171754,119.5139494034351
ProtoNet,20,100,220.9,34.25541319752739,145.0,249.0,10.0,196.39515360166467,245.40484639833534,49.00969279667066
ProtoNet,20,500,151.9,54.27594105842641,70.0,228.0,10.0,113.07333073483858,190.72666926516143,77.65333853032286
ProtoNet,20,1000,195.1,48.20431054953027,116.0,250.0,10.0,160.6167135499869,229.58328645001308,68.96657290002616
ProtoNet,20,2000,187.1,49.813987326185135,110.0,248.0,10.0,151.46522015139783,222.73477984860216,71.26955969720433
ProtoNet,20,5000,188.3,58.13786297337658,79.0,251.0,10.0,146.71067822259127,229.88932177740875,83.17864355481748
ProtoNet,20,10000,137.3,68.54366005206705,27.0,244.0,10.0,88.26681942003674,186.33318057996328,98.06636115992654
Siamese,5,100,184.4,55.93686917707616,64.0,252.0,10.0,144.38517433481226,224.41482566518775,80.02965133037549
Siamese,5,500,155.6,87.75496187300939,15.0,252.0,10.0,92.82388198939924,218.37611801060075,125.55223602120151
Siamese,5,1000,147.4,74.91506301583591,45.0,248.0,10.0,93.8089923090701,200.9910076909299,107.1820153818598
Siamese,5,2000,116.6,70.46543676000155,27.0,244.0,10.0,66.19206318024825,167.00793681975173,100.81587363950348
Siamese,5,5000,99.5,68.0608387971951,7.0,242.0,10.0,50.81220893906734,148.18779106093265,97.3755821218653
Siamese,5,10000,100.6,71.14179893392883,10.0,225.0,10.0,49.708222828180084,151.4917771718199,101.78355434363982
Siamese,10,100,181.6,58.75788363180629,70.0,242.0,10.0,139.56714216272812,223.63285783727187,84.06571567454375
Siamese,10,500,134.0,77.74888352181586,2.0,254.0,10.0,78.38179923978598,189.61820076021402,111.23640152042805
Siamese,10,1000,144.0,85.5258245599928,17.0,254.0,10.0,82.81851076066198,205.18148923933802,122.36297847867604
Siamese,10,2000,146.3,96.68166550305412,10.0,248.0,10.0,77.13810289993559,215.46189710006445,138.32379420012887
Siamese,10,5000,122.1,49.25996797039605,33.0,189.0,10.0,86.86154172361275,157.33845827638726,70.47691655277451
Siamese,10,10000,91.7,58.22761849462466,10.0,173.0,10.0,50.046470990615866,133.35352900938415,83.30705801876829
Siamese,15,100,205.8,35.636435786362746,148.0,248.0,10.0,180.3072295554154,231.29277044458462,50.985540889169215
Siamese,15,500,146.8,46.46336669295978,70.0,247.0,10.0,113.56210976072262,180.0378902392774,66.47578047855478
Siamese,15,1000,156.8,63.67591555857067,62.0,236.0,10.0,111.2489940600461,202.35100593995392,91.10201187990782
Siamese,15,2000,172.3,71.76667440780264,8.0,235.0,10.0,120.96121384256173,223.6387861574383,102.67757231487656
Siamese,15,5000,142.4,75.38228498055022,12.0,241.0,10.0,88.47476184998229,196.32523815001773,107.85047630003544
Siamese,15,10000,107.9,83.73164807221275,4.0,219.0,10.0,48.00198730175734,167.79801269824267,119.79602539648533
Siamese,20,100,216.5,33.65263734092768,158.0,254.0,10.0,192.42635347344628,240.57364652655372,48.14729305310743
Siamese,20,500,157.4,41.22620525830627,103.0,238.0,10.0,127.9085493607778,186.89145063922223,58.98290127844443
Siamese,20,1000,176.3,44.52976532612765,75.0,236.0,10.0,144.44532485191448,208.15467514808554,63.70935029617107
Siamese,20,2000,195.4,29.56048413375908,158.0,244.0,10.0,174.2537035305567,216.54629646944332,42.29259293888663
Siamese,20,5000,165.9,45.55448508227385,102.0,249.0,10.0,133.3122844976526,198.4877155023474,65.17543100469481
Siamese,20,10000,86.6,64.88314282016727,20.0,197.0,10.0,40.185395701365564,133.01460429863442,92.82920859726886
