Method,Training_Size,Training_Config,Attack_Traces,Key_Rank,PCA_Components,Run,Seed
Template Attack,5120,20-shot equivalent,5000,114,19,4,45
Template Attack,5120,20-shot equivalent,10000,219,19,4,45
Template Attack,50000,Full training set,100,21,20,4,45
Template Attack,50000,Full training set,500,0,20,4,45
Template Attack,50000,Full training set,1000,4,20,4,45
Template Attack,50000,Full training set,2000,38,20,4,45
Template Attack,50000,Full training set,5000,54,20,4,45
Template Attack,50000,Full training set,10000,74,20,4,45
Template Attack,1280,5-shot equivalent,100,38,5,5,46
Template Attack,1280,5-shot equivalent,500,225,5,5,46
Template Attack,1280,5-shot equivalent,1000,231,5,5,46
Template Attack,1280,5-shot equivalent,2000,204,5,5,46
Template Attack,1280,5-shot equivalent,5000,227,5,5,46
Template Attack,1280,5-shot equivalent,10000,172,5,5,46
Template Attack,2560,10-shot equivalent,100,26,9,5,46
Template Attack,2560,10-shot equivalent,500,90,9,5,46
Template Attack,2560,10-shot equivalent,1000,19,9,5,46
Template Attack,2560,10-shot equivalent,2000,34,9,5,46
Template Attack,2560,10-shot equivalent,5000,22,9,5,46
Template Attack,2560,10-shot equivalent,10000,38,9,5,46
Template Attack,3840,15-shot equivalent,100,159,14,5,46
Template Attack,3840,15-shot equivalent,500,87,14,5,46
Template Attack,3840,15-shot equivalent,1000,64,14,5,46
Template Attack,3840,15-shot equivalent,2000,12,14,5,46
Template Attack,3840,15-shot equivalent,5000,16,14,5,46
Template Attack,3840,15-shot equivalent,10000,84,14,5,46
Template Attack,5120,20-shot equivalent,100,76,19,5,46
Template Attack,5120,20-shot equivalent,500,83,19,5,46
Template Attack,5120,20-shot equivalent,1000,35,19,5,46
Template Attack,5120,20-shot equivalent,2000,34,19,5,46
Template Attack,5120,20-shot equivalent,5000,22,19,5,46
Template Attack,5120,20-shot equivalent,10000,15,19,5,46
Template Attack,50000,Full training set,100,21,20,5,46
Template Attack,50000,Full training set,500,0,20,5,46
Template Attack,50000,Full training set,1000,4,20,5,46
Template Attack,50000,Full training set,2000,38,20,5,46
Template Attack,50000,Full training set,5000,54,20,5,46
Template Attack,50000,Full training set,10000,74,20,5,46
Template Attack,1280,5-shot equivalent,100,7,5,6,47
Template Attack,1280,5-shot equivalent,500,49,5,6,47
Template Attack,1280,5-shot equivalent,1000,141,5,6,47
Template Attack,1280,5-shot equivalent,2000,196,5,6,47
Template Attack,1280,5-shot equivalent,5000,116,5,6,47
Template Attack,1280,5-shot equivalent,10000,113,5,6,47
Template Attack,2560,10-shot equivalent,100,14,9,6,47
Template Attack,2560,10-shot equivalent,500,5,9,6,47
Template Attack,2560,10-shot equivalent,1000,44,9,6,47
Template Attack,2560,10-shot equivalent,2000,75,9,6,47
Template Attack,2560,10-shot equivalent,5000,129,9,6,47
Template Attack,2560,10-shot equivalent,10000,50,9,6,47
Template Attack,3840,15-shot equivalent,100,61,14,6,47
Template Attack,3840,15-shot equivalent,500,146,14,6,47
Template Attack,3840,15-shot equivalent,1000,174,14,6,47
Template Attack,3840,15-shot equivalent,2000,154,14,6,47
Template Attack,3840,15-shot equivalent,5000,192,14,6,47
Template Attack,3840,15-shot equivalent,10000,152,14,6,47
Template Attack,5120,20-shot equivalent,100,196,19,6,47
Template Attack,5120,20-shot equivalent,500,99,19,6,47
Template Attack,5120,20-shot equivalent,1000,58,19,6,47
Template Attack,5120,20-shot equivalent,2000,146,19,6,47
Template Attack,5120,20-shot equivalent,5000,141,19,6,47
Template Attack,5120,20-shot equivalent,10000,165,19,6,47
Template Attack,50000,Full training set,100,21,20,6,47
Template Attack,50000,Full training set,500,0,20,6,47
Template Attack,50000,Full training set,1000,4,20,6,47
Template Attack,50000,Full training set,2000,38,20,6,47
Template Attack,50000,Full training set,5000,54,20,6,47
Template Attack,50000,Full training set,10000,74,20,6,47
Template Attack,1280,5-shot equivalent,100,193,5,7,48
Template Attack,1280,5-shot equivalent,500,91,5,7,48
Template Attack,1280,5-shot equivalent,1000,83,5,7,48
Template Attack,1280,5-shot equivalent,2000,89,5,7,48
Template Attack,1280,5-shot equivalent,5000,104,5,7,48
Template Attack,1280,5-shot equivalent,10000,149,5,7,48
Template Attack,2560,10-shot equivalent,100,55,9,7,48
Template Attack,2560,10-shot equivalent,500,46,9,7,48
Template Attack,2560,10-shot equivalent,1000,21,9,7,48
Template Attack,2560,10-shot equivalent,2000,9,9,7,48
Template Attack,2560,10-shot equivalent,5000,15,9,7,48
Template Attack,2560,10-shot equivalent,10000,67,9,7,48
Template Attack,3840,15-shot equivalent,100,51,14,7,48
Template Attack,3840,15-shot equivalent,500,97,14,7,48
Template Attack,3840,15-shot equivalent,1000,37,14,7,48
Template Attack,3840,15-shot equivalent,2000,46,14,7,48
Template Attack,3840,15-shot equivalent,5000,33,14,7,48
Template Attack,3840,15-shot equivalent,10000,95,14,7,48
Template Attack,5120,20-shot equivalent,100,85,19,7,48
Template Attack,5120,20-shot equivalent,500,150,19,7,48
Template Attack,5120,20-shot equivalent,1000,98,19,7,48
Template Attack,5120,20-shot equivalent,2000,39,19,7,48
Template Attack,5120,20-shot equivalent,5000,83,19,7,48
Template Attack,5120,20-shot equivalent,10000,28,19,7,48
Template Attack,50000,Full training set,100,21,20,7,48
Template Attack,50000,Full training set,500,0,20,7,48
Template Attack,50000,Full training set,1000,4,20,7,48
Template Attack,50000,Full training set,2000,38,20,7,48
Template Attack,50000,Full training set,5000,54,20,7,48
Template Attack,50000,Full training set,10000,74,20,7,48
Template Attack,1280,5-shot equivalent,100,238,5,8,49
Template Attack,1280,5-shot equivalent,500,179,5,8,49
Template Attack,1280,5-shot equivalent,1000,233,5,8,49
Template Attack,1280,5-shot equivalent,2000,145,5,8,49
Template Attack,1280,5-shot equivalent,5000,235,5,8,49
Template Attack,1280,5-shot equivalent,10000,189,5,8,49
Template Attack,2560,10-shot equivalent,100,200,9,8,49
Template Attack,2560,10-shot equivalent,500,27,9,8,49
Template Attack,2560,10-shot equivalent,1000,40,9,8,49
Template Attack,2560,10-shot equivalent,2000,61,9,8,49
Template Attack,2560,10-shot equivalent,5000,83,9,8,49
Template Attack,2560,10-shot equivalent,10000,69,9,8,49
Template Attack,3840,15-shot equivalent,100,182,14,8,49
Template Attack,3840,15-shot equivalent,500,177,14,8,49
Template Attack,3840,15-shot equivalent,1000,235,14,8,49
Template Attack,3840,15-shot equivalent,2000,214,14,8,49
